Name,Gender,Game,Age,Age_range,Playable,Sexualization,Id,Species,Side,Relevance,Romantic_Interest,Game_Id,Title,Release,Series,Genre,Sub-genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic ,Destructoid,IGN,GameSpot,Avg_Reviews,Unnamed: 27,Sexualized_clothing,Trophy,Damsel in Distress,Sexualized Cutscenes,Total
Farah,Female,CODMW,27,Adult,1,0,CODMW_Farah,Human,P,PA,No,CODMW,Call of Duty: Modern Warfare,Oct-19,Call of Duty,Action,FPS,Infinity Ward,Activision,USA,Multi,18,No,3,1,5,1,17%,MS,M,11,0,0%,8.0,8.0,8.0,7.0,7.8,,0,0,0,0,0
Protagonist,Custom,PSS,Teenager,Teenager,1,0,PSS_Protagonist,Human,P,PA,No,PSS,Pokémon Sword/Shield,Nov-19,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8.0,7.0,9.3,9.0,8.3,,0,0,0,0,0
Magnolia,Female,PSS,Elderly,Elderly,0,0,PSS_Magnolia,Human,P,SC,No,PSS,Pokémon Sword/Shield,Nov-19,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8.0,7.0,9.3,9.0,8.3,,0,0,0,0,0
Sonia,Female,PSS,26,Adult,0,0,PSS_Sonia,Human,P,SC,No,PSS,Pokémon Sword/Shield,Nov-19,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8.0,7.0,9.3,9.0,8.3,,0,0,0,0,0
Marnie,Female,PSS,Teenager,Teenager,0,0,PSS_Marnie,Human,B,MC,No,PSS,Pokémon Sword/Shield,Nov-19,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8.0,7.0,9.3,9.0,8.3,,0,0,0,0,0
Oleana ,Female,PSS,Adult,Adult,0,0,PSS_Oleana,Human,A,SC,No,PSS,Pokémon Sword/Shield,Nov-19,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo Switch,7,Yes,1,1,4,5,56%,MS,M,9,1,11%,8.0,7.0,9.3,9.0,8.3,,0,0,0,0,0
Peach,Female,SMO,Adult,Adult,0,2,SMO_Peach,Human,P,MC,Yes,SMO,Super Mario Odyssey,Oct-17,Super Mario,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Nintendo Switch,7,No,1,0,3,2,40%,SR,M,11,1,9%,9.7,9.5,10.0,10.0,9.8,,0,1,1,0,2
Zelda,Female,BOTW,17,Teenager,0,0,BOTW_Zelda,Human,P,DA,No,BOTW,The Legend of Zelda: Breath of the Wild,Mar-17,The Legend of Zelda,Action-adventure,Action-adventure,Nintendo EDP,Nintendo,JPN,Multi,12,No,1,0,13,5,28%,SR,M,8,0,0%,9.7,10.0,10.0,10.0,9.9,,0,0,0,0,0
Protagonist,Custom,PSM,11,Child,1,0,PSM_Protagonist,Human,P,PA,No,PSM,Pokémon Sun/Moon,Nov-16,Pokémon,RPG,RPG,Game Freak,Nintendo,JPN,Nintendo 3DS,7,Yes,1,1,4,3,43%,MS,M,12,0,0%,8.7,9.0,9.0,8.0,8.7,,0,0,0,0,0
Ciri,Female,TW3,21,Young adult,0,2,TW3_Ciri,Human,P,DA,No,TW3,The Witcher 3: Wild Hunt,May-15,The Witcher,RPG,Action RPG,CD Projeket Red,CD Projekt,POL,Multi,18,No,1,0,13,6,32%,SR,M,9,0,0%,9.0,8.0,9.3,10.0,9.1,,1,0,1,0,2
Clementine,Female,TWD,8,Child,0,0,TWD_Clementine,Human,P,DA,No,TWD,The Walking Dead,Apr-12,The Walking Dead,Adventure,Episodic adventure,Telltale Games,Telltale Games,USA,Multi,18,No,1,0,14,9,39%,SR,M,16,0,0%,8.5,8.6,9.3,8.5,8.7,,0,0,0,0,0
Frisk,Non-binary,UT,Teenager,Teenager,1,0,UT_Frisk,Human,P,PA,No,UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10.0,10.0,9.0,9.6,,0,0,0,0,0
Hunter,Custom,BB,Adult,Adult,1,0,BB_Hunter,Human,P,PA,No,BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9.0,9.1,9.0,9.1,,0,0,0,0,0
Shield Knight,Female,SK,Adult,Adult,0,1,SK_Shield,Human,P,MC,Yes,SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9.0,9.0,8.0,8.7,,0,0,1,0,1
Ellie,Female,TLOU,14,Child,0,0,TLOU_Ellie,Human,P,DA,No,TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10.0,10.0,8.0,9.4,,0,0,0,0,0
